NAME,REGISTER,IMO,status,LOA,LPP,B,H,T,LT,GT,NT,DWT,Link
PUSRI INDONESIA I,19614,9711640,AKTIF (ACTIVE),134.00,131.60,26.40,11.00,0.00,5614,12454,5970,0,https://www.bki.co.id/shipregister-19614.html
CAHAYA MUSTIKA LAUT 06,14253,8658815,AKTIF (ACTIVE),30.50,29.28,8.60,4.50,0.00,1144,278,84,0,https://www.bki.co.id/shipregister-14253.html
SARTIKA BARUNA,19742,9219898,AKTIF (ACTIVE),141.40,133.39,24.00,12.30,7.02,5325,11913,4609,13601,https://www.bki.co.id/shipregister-19742.html
PANCARAN II 1615,18069,8691087,AKTIF (ACTIVE),23.50,21.65,7.32,3.20,2.69,508,155,47,0,https://www.bki.co.id/shipregister-18069.html
SRIKANDI INDONESIA 19,21057,9186778,DITANGGUHKAN (SUSPEND),189.33,180.00,30.95,16.40,11.73,4700,26586,16450,0,https://www.bki.co.id/shipregister-21057.html
ISA GOLDEN,25319,9116292,AKTIF (ACTIVE),166.00,158.68,27.00,14.40,,,18306,9071,0,https://www.bki.co.id/shipregister-25319.html
ADHIGUNA TARAHAN,3856,8324232,AKTIF (ACTIVE),149.35,143.50,21.00,13.20,6.41,6828,12416,3725,11096,https://www.bki.co.id/shipregister-3856.html
INTAN BARUNA,19016,9633018,AKTIF (ACTIVE),169.37,161.21,27.20,13.60,9.81,3825,17019,10101,28387,https://www.bki.co.id/shipregister-19016.html
ARLYNN,18005,8693607,AKTIF (ACTIVE),23.94,22.56,7.00,3.40,0.00,608,152,46,0,https://www.bki.co.id/shipregister-18005.html
GOLDEN DESTINY,24410,9252046,DITANGGUHKAN (SUSPEND),,161.21,27.20,13.60,,3864,17935,10562,0,https://www.bki.co.id/shipregister-24410.html
BUHILA,202,0,DICABUT (WITHDRAWN),0.00,18.90,5.37,2.11,0.00,650,75,23,0,https://www.bki.co.id/shipregister-202.html
