NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
XING CHI,04F1014,9283514,"Oil Tanker, Double Hull",187.8,178,31.5,16.8,11.3,"26,955","11,381","42,017",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9283514
ORIENTAL RIDER,13C0090,9622069,"Chemical/Oil Tanker, Double Hull",177.21,168,29,14.4,9.5,"20,572","8,555","29,745",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9622069
HONG JIN,16U0167,9802293,Liquefied Gas Carrier,159.99,152.81,24.8,16.7,8.5,"17,191","5,157","16,665",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9802293
LING YANG ZUO,10U0022,9435583,"Oil Tanker, Double Hull",228.6,220,32.26,21.2,12.5,"43,718","21,966","75,573",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9435583
YANG MEI HU,09Y0182,9417165,"Oil Tanker, Double Hull",244.6,233,42,22.2,12,"61,630","32,584","109,855",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9417165
SEA DILIGENCE,15V0094,9760861,"Oil Tanker, Double Hull",90,84,15.2,7.2,5.3,"2,882","1,215","4,233",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9760861
DONG GUI 13,07V0031,9359234,"Chemical/Oil Tanker, Double Hull",89,84,14,6.2,4,"2,356","1,319","2,315",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9359234
HORIZON ATHENA,08X0291,9407378,Chemical/Oil Tanker,174,173.79,32.2,19.1,11,"29,828","13,429","50,242",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9407378
CHANG HANG FEI YUE,10S0158,9401659,"Oil Tanker, Double Hull",184.95,176,32.2,18.2,10.2,"29,578","12,471","44,999",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9401659
YUAN QIU HU,15P0134,9723590,"Oil Tanker, Double Hull",333,320,60,29.5,20.5,"160,671","104,156","308,371",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9723590
XIN TONG ZHOU,05J3046,9297448,"Oil Tanker, Double Hull",228.56,218,32.2,19.6,12.19,"38,842","21,249","71,049",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9297448
JIAN HANG TAI DA,10G0194,9349095,"Chemical/Oil Tanker, Double Hull",134.85,126,22,10.6,7.58,"8,525","3,829","11,971",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9349095
FENG HAI 29,12U0055,9650236,"Chemical/Oil Tanker, Double Hull",112.68,105.6,17,8.9,6.6,"4,522","2,532","6,540",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9650236
DONG GUI 12,11B0194,9600073,"Chemical/Oil Tanker, Double Hull",96.6,90,15,7.4,5.2,"2,994","1,180","4,124",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9600073
JIN ZHOU WAN,17V0104,9802580,Asphalt Carrier/Oil Tanker,145.9,138,22.6,11.8,7.9,"11,081","3,324","13,265",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9802580
EXCEL,13M0191,9720249,"Oil Tanker, Double Hull",33.43,30.7,11,4.5,3.5,498,149,482,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9720249
ZEAL,17H0046,9486805,Oil Tanker,83.34,79.5,12.9,7.45,5.65,"2,169",997,"3,751",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9486805
XING TONG 79,21X0057,9948669,"Chemical/Oil Tanker, Double Hull",119.8,113.8,18,9.7,7.1,"6,036","2,587","7,995",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9948669
SELENIA,04Q0103,9286437,"Oil Tanker/Asphalt Carrier(Independent Tank, Maximum Cargo Temperature ≤200℃)",109.66,104.1,17.8,8.6,6,"5,046","1,513","5,765",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9286437
HUA HANG HE SHUN,14E0005,9677882,Asphalt Carrier/Oil Tanker,108,102,17.6,10.1,6.5,"5,392","1,617","6,111",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9677882
